,_,mrw,sentence
256,,Back rest,Back room stage so small the performers have to rest their mike stands on the floor in front
257,,Home heavy,Fulham Greyhound 175 Fulham Palace Rd W6 385 0526 Home of heavy rock so take your ear-plugs
258,,determined,Consistently fine and determined music policy
259,,wholesome,Half Moon Putney 93 Lower Richmond Rd SW15 788 2387 Better known for its jazz but a good wholesome venue for rock nonetheless
260,,L ensuring,King 's Head Fulham 4 Fulham High St SW6 736 1413 L room part corridor part bar part dance-floor with the stage in one corner ensuring restricted view from virtually everywhere
261,,atmosphere around with uninhibited whelping,Perhaps the best atmosphere around with uninhibited dancing and whelping
262,,gone through incarnations,New Pegasus 109 Green Lanes N16 226 5930 Pub which has gone through several incarnations most recently known as Chas'n'Dave 's
263,,odd leads to diminishing atmosphere,The odd policy to put the stage in the middle of the room rather than at one end leads to a diminishing of the atmosphere the corners are seldom filled
264,,survived change,The stains on the carpet have survived every name change
265,,after venerable home to,Sir George Robey 240 Seven Sisters Rd N4 263 4581 Named after an old musical hero located opposite the old Rainbow the venerable old rock institution which is now home to a religious sect
266,,back form,Smelly back room perfect for the sweatier excesses of the form
267,,moral minefields to about,Ripping yarns and moral minefields Allan and Janet talk Ahlberg talk to Celia Dodd about their bestsellers for children
268,,THESE under-,THESE days no one questions the importance of good books for the under-
269,,appeal to after,But books that appeal to adults too are just as important we are after all the ones who have to do the reading
